frame_cnt,latitude,longitude,altitude,yaw,pitch,roll,focal_len
266,36.402312,127.421560,84.251,140.3,-29.8,0.0,24.00
267,36.402312,127.421561,84.250,140.9,-29.8,0.0,24.00
268,36.402312,127.421561,84.250,140.9,-29.8,0.0,24.00
269,36.402312,127.421561,84.250,140.9,-29.8,0.0,24.00
270,36.402312,127.421561,84.250,141.5,-29.8,0.0,24.00
271,36.402313,127.421563,84.250,141.5,-29.8,0.0,24.00
272,36.402313,127.421563,84.250,141.5,-29.8,0.0,24.00
273,36.402314,127.421564,84.250,142.1,-29.8,0.0,24.00
274,36.402314,127.421564,84.250,142.1,-29.8,0.0,24.00
275,36.402314,127.421564,84.250,142.1,-29.8,0.0,24.00
276,36.402315,127.421565,84.251,142.7,-29.8,0.0,24.00
277,36.402315,127.421565,84.251,142.7,-29.8,0.0,24.00
278,36.402315,127.421565,84.251,142.7,-29.8,0.0,24.00
279,36.402315,127.421566,84.251,143.3,-29.8,0.0,24.00
280,36.402315,127.421566,84.251,143.3,-29.8,0.0,24.00
281,36.402315,127.421566,84.251,143.3,-29.8,0.0,24.00
282,36.402316,127.421567,84.251,144.0,-29.8,0.0,24.00
283,36.402316,127.421567,84.251,144.0,-29.8,0.0,24.00
284,36.402316,127.421567,84.251,144.9,-29.8,0.0,24.00
285,36.402317,127.421568,84.251,144.9,-29.8,0.0,24.00
286,36.402317,127.421568,84.251,144.9,-29.8,0.0,24.00
287,36.402317,127.421568,84.251,144.9,-29.8,0.0,24.00
288,36.402317,127.421569,84.252,146.1,-29.8,0.0,24.00
289,36.402317,127.421569,84.252,146.1,-29.8,0.0,24.00
290,36.402317,127.421569,84.252,146.1,-29.8,0.0,24.00
291,36.402318,127.421571,84.253,147.4,-29.8,0.0,24.00
292,36.402318,127.421571,84.253,147.4,-29.8,0.0,24.00
293,36.402318,127.421571,84.253,147.4,-29.8,0.0,24.00
294,36.402319,127.421572,84.257,148.7,-29.8,0.0,24.00
295,36.402319,127.421572,84.257,148.7,-29.8,0.0,24.00
296,36.402319,127.421572,84.257,150.0,-29.8,0.0,24.00
297,36.402319,127.421573,84.262,150.0,-29.8,0.0,24.00
298,36.402319,127.421573,84.262,150.0,-29.8,0.0,24.00
299,36.402319,127.421573,84.262,150.0,-29.8,0.0,24.00
300,36.402320,127.421574,84.270,151.3,-29.8,0.0,24.00
301,36.402320,127.421574,84.270,151.3,-29.8,0.0,24.00
302,36.402320,127.421574,84.270,151.3,-29.8,0.0,24.00
303,36.402321,127.421575,84.281,152.7,-29.8,0.0,24.00
304,36.402321,127.421575,84.281,152.7,-29.8,0.0,24.00
305,36.402321,127.421575,84.281,152.7,-29.8,0.0,24.00
306,36.402321,127.421577,84.296,154.0,-29.8,0.0,24.00
307,36.402321,127.421577,84.296,154.0,-29.8,0.0,24.00
308,36.402321,127.421577,84.296,154.0,-29.8,0.0,24.00
309,36.402322,127.421578,84.315,155.3,-29.8,0.0,24.00
310,36.402322,127.421578,84.315,155.3,-29.8,0.0,24.00
311,36.402322,127.421578,84.315,155.3,-29.8,0.0,24.00
312,36.402322,127.421579,84.338,156.6,-29.8,0.0,24.00
313,36.402322,127.421579,84.338,156.6,-29.8,0.0,24.00
314,36.402322,127.421579,84.338,158.0,-29.8,0.0,24.00
315,36.402323,127.421581,84.371,158.0,-29.8,0.0,24.00
316,36.402323,127.421581,84.371,158.0,-29.8,0.0,24.00
317,36.402323,127.421581,84.371,158.0,-29.8,0.0,24.00
318,36.402323,127.421582,84.417,159.3,-29.8,0.0,24.00
319,36.402323,127.421582,84.417,159.3,-29.8,0.0,24.00
320,36.402323,127.421582,84.417,159.3,-29.8,0.0,24.00
321,36.402324,127.421583,84.472,160.6,-29.8,0.0,24.00
322,36.402324,127.421583,84.472,160.6,-29.8,0.0,24.00
323,36.402324,127.421583,84.472,161.9,-29.8,0.0,24.00
324,36.402324,127.421583,84.472,161.9,-29.8,0.0,24.00
325,36.402324,127.421584,84.531,161.9,-29.8,0.0,24.00
326,36.402324,127.421584,84.531,163.2,-29.8,0.0,24.00
327,36.402324,127.421584,84.531,163.2,-29.8,0.0,24.00
328,36.402324,127.421584,84.595,163.2,-29.8,0.0,24.00
329,36.402324,127.421584,84.595,163.2,-29.8,0.0,24.00
330,36.402324,127.421584,84.662,164.5,-29.8,0.0,24.00
331,36.402324,127.421584,84.662,164.5,-29.8,0.0,24.00
332,36.402324,127.421584,84.662,165.8,-29.8,0.0,24.00
333,36.402324,127.421584,84.662,165.8,-29.8,0.0,24.00
334,36.402324,127.421584,84.744,165.8,-29.8,0.0,24.00
335,36.402324,127.421584,84.744,165.8,-29.8,0.0,24.00
336,36.402324,127.421585,84.829,167.1,-29.8,0.0,24.00
337,36.402324,127.421585,84.829,167.1,-29.8,0.0,24.00
338,36.402324,127.421585,84.829,168.4,-29.8,0.0,24.00
339,36.402324,127.421584,84.922,168.4,-29.8,0.0,24.00
340,36.402324,127.421584,84.922,168.4,-29.8,0.0,24.00
341,36.402324,127.421584,84.922,169.7,-29.8,0.0,24.00
342,36.402324,127.421584,85.023,169.7,-29.8,0.0,24.00
343,36.402324,127.421584,85.023,169.7,-29.8,0.0,24.00
344,36.402324,127.421584,85.023,171.0,-29.8,0.0,24.00
345,36.402324,127.421584,85.131,171.0,-29.8,0.0,24.00
346,36.402324,127.421584,85.131,171.0,-29.8,0.0,24.00
347,36.402324,127.421584,85.131,172.3,-29.8,0.0,24.00
348,36.402324,127.421584,85.245,172.3,-29.8,0.0,24.00
